"model","npar","logLik","deviance","AIC","BIC","convergence","max_abs_gradient","mean_abs_gradient","logLik_loss_vs_free","logLik_loss_per_participant","delta_AIC","delta_BIC"
"free_J_free_h",90,-93555.1995738856,187110.399147771,187290.399147771,188015.392236128,0,0.000850612315844046,0.000261498166315101,0,0,0,242.830235686066
"equal_J_free_h",54,-93614.783073714,187229.566147428,187337.566147428,187772.562000442,0,3.24730879128765e-05,1.92737324087804e-05,59.5834998283681,0.00255909890599871,47.1669996567362,0
"free_J_equal_h",81,-93611.5091825245,187223.018365049,187385.018365049,188037.51214457,0,4.3645965433825e-05,1.91562533520207e-05,56.3096086388832,0.00241848596138312,94.6192172777664,264.950144128117
"equal_J_equal_h",45,-95229.0285859789,190458.057171958,190548.057171958,190910.553716136,0,0.000500765739161579,0.000269203079629834,1673.82901209327,0.0718906073999599,3257.65802418653,3137.99171569408
