"model","convergence","max_abs_gradient","mean_abs_gradient","hessian_positive_definite","min_hessian_eigenvalue","hessian_condition_number","covariance_available"
"free_J_free_h",0,0.000850612315844046,0.000261498166315101,TRUE,21.5287650913432,2367.72095308653,TRUE
"equal_J_free_h",0,3.24730879128765e-05,1.92737324087804e-05,TRUE,37.8133319240321,1726.47565361488,TRUE
"free_J_equal_h",0,4.3645965433825e-05,1.91562533520207e-05,TRUE,26.9412690618537,2001.15211952818,TRUE
"equal_J_equal_h",0,0.000500765739161579,0.000269203079629834,TRUE,58.4807307009736,1401.75684458749,TRUE
