"model","node_1","node_2","J_group_1","J_group_2","J_difference_group2_minus_group1","absolute_J_difference"
"equal_J_free_h","anh","dep",1.84667628313658,1.84667628313658,0,0
"equal_J_free_h","anh","slp",0.492912949521143,0.492912949521143,0,0
"equal_J_free_h","dep","slp",0.640491317003918,0.640491317003918,0,0
"equal_J_free_h","anh","ene",1.31820139662329,1.31820139662329,0,0
"equal_J_free_h","dep","ene",0.46909532136469,0.46909532136469,0,0
"equal_J_free_h","slp","ene",1.34402551310341,1.34402551310341,0,0
"equal_J_free_h","anh","app",0.618875086265317,0.618875086265317,0,0
"equal_J_free_h","dep","app",0.325029363474711,0.325029363474711,0,0
"equal_J_free_h","slp","app",0.619387561139956,0.619387561139956,0,0
"equal_J_free_h","ene","app",1.14455154351889,1.14455154351889,0,0
"equal_J_free_h","anh","glt",0.41706599845124,0.41706599845124,0,0
"equal_J_free_h","dep","glt",1.16579319286981,1.16579319286981,0,0
"equal_J_free_h","slp","glt",0.337654851106143,0.337654851106143,0,0
"equal_J_free_h","ene","glt",0.377397351396867,0.377397351396867,0,0
"equal_J_free_h","app","glt",0.520771886182989,0.520771886182989,0,0
"equal_J_free_h","anh","con",0.435503871992561,0.435503871992561,0,0
"equal_J_free_h","dep","con",0.412469564983341,0.412469564983341,0,0
"equal_J_free_h","slp","con",0.481054283471808,0.481054283471808,0,0
"equal_J_free_h","ene","con",0.722205622601565,0.722205622601565,0,0
"equal_J_free_h","app","con",0.431115484348844,0.431115484348844,0,0
"equal_J_free_h","glt","con",0.700930644080257,0.700930644080257,0,0
"equal_J_free_h","anh","mot",0.155413178773263,0.155413178773263,0,0
"equal_J_free_h","dep","mot",0.621595852574256,0.621595852574256,0,0
"equal_J_free_h","slp","mot",0.358569213290935,0.358569213290935,0,0
"equal_J_free_h","ene","mot",0.575729735102668,0.575729735102668,0,0
"equal_J_free_h","app","mot",0.450815926966135,0.450815926966135,0,0
"equal_J_free_h","glt","mot",0.682820844949782,0.682820844949782,0,0
"equal_J_free_h","con","mot",1.37370543221784,1.37370543221784,0,0
"equal_J_free_h","anh","sui",0.120841274126721,0.120841274126721,0,0
"equal_J_free_h","dep","sui",1.52069824474388,1.52069824474388,0,0
"equal_J_free_h","slp","sui",0.316462286903096,0.316462286903096,0,0
"equal_J_free_h","ene","sui",-0.267104208720262,-0.267104208720262,0,0
"equal_J_free_h","app","sui",0.302362769932986,0.302362769932986,0,0
"equal_J_free_h","glt","sui",1.44206981494242,1.44206981494242,0,0
"equal_J_free_h","con","sui",0.481030261480511,0.481030261480511,0,0
"equal_J_free_h","mot","sui",0.881766302508169,0.881766302508169,0,0
