"Symptom_code","Symptom","h_Low","SE_h_Low","h_High","SE_h_High","Delta_h","SE_Delta_h","CI_lower","CI_upper"
"anh","Anhedonia",-2.19711324510355,0.035447947171525,-1.88214574400008,0.039592228163331,0.314967501103471,0.0354686571478786,0.245448933093629,0.384486069113313
"dep","Depressed mood",-3.62774505022088,0.0515153518246339,-3.06037616686382,0.052976434990074,0.56736888335706,0.0384259067419156,0.492054106142905,0.642683660571214
"slp","Sleep problems",-1.83759011701747,0.0319599675327981,-1.76212308272178,0.0375122923513077,0.07546703429569,0.0334662583723418,0.00987316788590009,0.14106090070548
"ene","Low energy",-1.27703691223959,0.027874318803803,-1.1984869266604,0.0350370135757139,0.07854998557919,0.0359026310946823,0.0081808286336127,0.148919142524767
"app","Appetite change",-2.63907997741488,0.0399293961748747,-2.37754998949615,0.0434938860188278,0.261529987918732,0.0339233882889461,0.195040146872398,0.328019828965067
"glt","Guilt",-3.39808657599674,0.0523719252046338,-3.24203218674463,0.0569567739928786,0.156054389252106,0.0411970370448069,0.0753081966442847,0.236800581859928
"con","Concentration problems",-3.053130598296,0.0464302441307985,-2.85350371590462,0.050542311725932,0.199626882391381,0.037728135624377,0.125679736567602,0.27357402821516
"mot","Psychomotor change",-4.1064961431687,0.0643975807382968,-3.41467255646515,0.064897952542405,0.691823586703555,0.0449862761229237,0.603650485502624,0.779996687904485
"sui","Suicidality",-5.36091195039272,0.110010915377816,-4.87405545682578,0.112052129724783,0.486856493566941,0.0691884413517342,0.351247148517542,0.62246583861634
