"Symptom_code","Symptom","h_Low","SE_h_Low","h_High","SE_h_High","Delta_h","SE_Delta_h","CI_lower","CI_upper"
"anh","Anhedonia",-2.18782575310268,0.0431265945701584,-1.8914015835804,0.0507865222081304,0.296424169522282,0.066627126586817,0.165835001412121,0.427013337632443
"dep","Depressed mood",-3.52364360355343,0.0664963239828938,-3.15797270296754,0.0708721437846063,0.365670900585895,0.0971834444124301,0.175191349537532,0.556150451634258
"slp","Sleep problems",-1.73793413803932,0.037303748746717,-1.91588805952429,0.0506347957344981,-0.177953921484969,0.0628923859432327,-0.301222997933705,-0.0546848450362329
"ene","Low energy",-1.27752102764095,0.0323658048303002,-1.20362655916563,0.0413770951821492,0.0738944684753129,0.0525319838577006,-0.0290682198857803,0.176857156836406
"app","Appetite change",-2.58436962709951,0.0494891876695218,-2.4289667273997,0.0588895925193247,0.155402899699814,0.0769231031828621,0.00463361746140406,0.306172181938224
"glt","Guilt",-3.40277910304158,0.0675535931729556,-3.21524857170159,0.0759827169588814,0.187530531339988,0.101670355694424,-0.0117433658210827,0.386804428501059
"con","Concentration problems",-3.02886583189699,0.0589369656175555,-2.86758725826932,0.067895723142736,0.161278573627669,0.0899077034368022,-0.0149405251084636,0.337497672363801
"mot","Psychomotor change",-4.0213319964245,0.0878430759797765,-3.46027428769113,0.0838074147728703,0.561057708733367,0.121408767263739,0.323096524896439,0.799018892570296
"sui","Suicidality",-5.33155527239964,0.156475576703261,-4.85823643475773,0.142949223239465,0.473318837641908,0.211941233669582,0.0579140196495266,0.888723655634289
