"setting","value"
"seed","20260729"
"run_nct","TRUE"
"run_multigroup_ising","TRUE"
"run_secondary","FALSE"
"nct_iterations","1000"
"nct_gamma","0.25"
"nct_edge_adjustment","holm"
"test_centrality","FALSE"
"run_standard_beta_sensitivity","FALSE"
"psychonetrics_version","0.15"
"NetworkComparisonTest_version","2.2.2"
