"","anh","dep","slp","ene","app","glt","con","mot","sui"
"anh",0,1.88284955261704,0.546721474711958,1.28614676609852,0.55574778132836,0.397068750052342,0.45000237162448,0.11579106536306,0
"dep",1.88284955261704,0,0.732335826991363,0.529041723507108,0.288285767409117,1.02013992074266,0.414725286862197,0.654821521505802,1.33269056082373
"slp",0.546721474711958,0.732335826991363,0,1.42062629998555,0.701571204196277,0.354740118167564,0.474744568906914,0.247754399903265,0.276624416957299
"ene",1.28614676609852,0.529041723507108,1.42062629998555,0,1.14188129186438,0.278044497062238,0.60997263886827,0.604682131017533,0
"app",0.55574778132836,0.288285767409117,0.701571204196277,1.14188129186438,0,0.552654437541024,0.522338050664732,0.46525314428794,0.22626293764199
"glt",0.397068750052342,1.02013992074266,0.354740118167564,0.278044497062238,0.552654437541024,0,0.786439036303207,0.781702105107454,1.40675916125457
"con",0.45000237162448,0.414725286862197,0.474744568906914,0.60997263886827,0.522338050664732,0.786439036303207,0,1.35034107700662,0.43388234417545
"mot",0.11579106536306,0.654821521505802,0.247754399903265,0.604682131017533,0.46525314428794,0.781702105107454,1.35034107700662,0,0.888413209681084
"sui",0,1.33269056082373,0.276624416957299,0,0.22626293764199,1.40675916125457,0.43388234417545,0.888413209681084,0
