"model","model_label","npar","logLik","AIC","delta_AIC","BIC","delta_BIC"
"free_J_free_h","Group-specific $J$, group-specific $h$",90,-93555.1995738856,187290.399147771,0,188015.392236128,242.830235686066
"equal_J_free_h","Common $J$, group-specific $h$",54,-93614.783073714,187337.566147428,47.1669996567362,187772.562000442,0
"free_J_equal_h","Group-specific $J$, common $h$",81,-93611.5091825245,187385.018365049,94.6192172777664,188037.51214457,264.950144128117
"equal_J_equal_h","Common $J$, common $h$",45,-95229.0285859789,190548.057171958,3257.65802418653,190910.553716136,3137.99171569408
