"symptom","group_1","group_2","beta_group_1","beta_group_2","tau_group_1","tau_group_2","tau_difference_group1_minus_group2","effective_h_group_1","effective_h_group_2","effective_h_difference_group1_minus_group2","baseline_probability_group_1_when_other_symptoms_zero","baseline_probability_group_2_when_other_symptoms_zero"
"anh","Low Slow Risk","High Slow Risk",1,1,-2.18781578741951,-1.89120725084817,-0.296608536571344,-2.18781578741951,-1.89120725084817,-0.296608536571344,0.100849983749501,0.131106880739555
"dep","Low Slow Risk","High Slow Risk",1,1,-3.52333545770144,-3.15820395706051,-0.36513150064093,-3.52333545770144,-3.15820395706051,-0.36513150064093,0.0286555094562081,0.0407692337048996
"slp","Low Slow Risk","High Slow Risk",1,1,-1.73732420057744,-1.91553584716701,0.178211646589569,-1.73732420057744,-1.91553584716701,0.178211646589569,0.149653129804978,0.128360204883834
"ene","Low Slow Risk","High Slow Risk",1,1,-1.27819434742589,-1.20354875074852,-0.0746455966773698,-1.27819434742589,-1.20354875074852,-0.0746455966773698,0.21785774234581,0.230844515146163
"app","Low Slow Risk","High Slow Risk",1,1,-2.58405357383314,-2.42812909036386,-0.155924483469284,-2.58405357383314,-2.42812909036386,-0.155924483469284,0.0701717832406842,0.0810527093111903
"glt","Low Slow Risk","High Slow Risk",1,1,-3.40184163747774,-3.21416954860822,-0.187672088869524,-3.40184163747774,-3.21416954860822,-0.187672088869524,0.0322379585314807,0.0386359656960365
"con","Low Slow Risk","High Slow Risk",1,1,-3.03005914499204,-2.868466117805,-0.161593027187032,-3.03005914499204,-2.868466117805,-0.161593027187032,0.0460862268183871,0.0537345922333704
"mot","Low Slow Risk","High Slow Risk",1,1,-4.02233559971376,-3.46091886979536,-0.561416729918401,-4.02233559971376,-3.46091886979536,-0.561416729918401,0.0175959209295996,0.0304448983543159
"sui","Low Slow Risk","High Slow Risk",1,1,-5.33341553336451,-4.85956342543111,-0.473852107933401,-5.33341553336451,-4.85956342543111,-0.473852107933401,0.00480435984996241,0.00769420841533927
