"node_1","node_2","omega_group_1","omega_group_2","omega_difference_group1_minus_group2","effective_J_group_1","effective_J_group_2","effective_J_difference_group1_minus_group2","absolute_effective_J_difference"
"glt","mot",0.448774462442442,0.843721402526954,-0.394946940084512,0.448774462442442,0.782379608663273,-0.333605146220831,0.333605146220831
"ene","mot",0.421372148408668,0.801035153677226,-0.379663005268559,0.421372148408668,0.742796814425353,-0.321424666016686,0.321424666016686
"dep","glt",1.350947588241,1.11995708315305,0.230990505087951,1.350947588241,1.03853189194043,0.312415696300579,0.312415696300579
"dep","sui",1.72785442109732,1.56072207449956,0.167132346597762,1.72785442109732,1.44725157169412,0.280602849403208,0.280602849403208
"slp","sui",0.129828757673601,0.397403554284798,-0.267574796611197,0.129828757673601,0.368510786085933,-0.238682028412332,0.238682028412332
"anh","dep",1.73230865349725,2.11316586441429,-0.380857210917041,1.73230865349725,1.95953057145332,-0.22722191795607,0.22722191795607
"glt","con",0.559005942085218,0.847564947604804,-0.288559005519585,0.559005942085218,0.785943713218261,-0.226937771133043,0.226937771133043
"ene","sui",-0.399956883997067,-0.189297482106527,-0.21065940189054,-0.399956883997067,-0.175534826457974,-0.224422057539093,0.224422057539093
"ene","con",0.829792339631723,0.653405217977403,0.17638712165432,0.829792339631723,0.60590014335137,0.223892196280353,0.223892196280353
"app","con",0.306871690129579,0.566016120047988,-0.259144429918409,0.306871690129579,0.52486456924518,-0.217992879115601,0.217992879115601
"dep","slp",0.51235021125627,0.783929432197151,-0.271579220940881,0.51235021125627,0.726934744745241,-0.214584533488971,0.214584533488971
"ene","glt",0.472719265943789,0.306941168797652,0.165778097146137,0.472719265943789,0.284625364258059,0.18809390168573,0.18809390168573
"slp","mot",0.438815511728596,0.297638707347745,0.141176804380851,0.438815511728596,0.275999227565324,0.162816284163272,0.162816284163272
"dep","ene",0.393963199145487,0.587466680975892,-0.193503481830406,0.393963199145487,0.544755591819833,-0.150792392674346,0.150792392674346
"anh","sui",0.210196763420391,0.085670902208029,0.124525861212362,0.210196763420391,0.0794422978279325,0.130754465592458,0.130754465592458
"mot","sui",0.787634231683905,0.982047179834444,-0.194412948150538,0.787634231683905,0.91064856947634,-0.123014337792435,0.123014337792435
"anh","ene",1.26735106255146,1.49785435062365,-0.230503288072197,1.26735106255146,1.38895457335287,-0.121603510801418,0.121603510801418
"dep","app",0.390443186810697,0.297801498080921,0.0926416887297759,0.390443186810697,0.276150182785536,0.114293004025161,0.114293004025161
"slp","app",0.559505546386012,0.72500971378906,-0.165504167403048,0.559505546386012,0.672298716676486,-0.112793170290474,0.112793170290474
"slp","ene",1.38197730018305,1.3728177117482,0.00915958843485276,1.38197730018305,1.27300857945138,0.10896872073167,0.10896872073167
"app","glt",0.454926879348619,0.601509883894497,-0.146583004545878,0.454926879348619,0.557777799827038,-0.102850920478419,0.102850920478419
"app","mot",0.379419670993001,0.514183268655058,-0.134763597662057,0.379419670993001,0.476800165678735,-0.0973804946857347,0.0973804946857347
"anh","app",0.662757454308054,0.621878027898258,0.0408794264097959,0.662757454308054,0.57666510135469,0.0860923529533644,0.0860923529533644
"dep","mot",0.594603933240587,0.724649292025222,-0.130045358784635,0.594603933240587,0.67196449896232,-0.0773605657217333,0.0773605657217333
"anh","mot",0.209320157267806,0.146701054200091,0.0626191030677151,0.209320157267806,0.136035322835004,0.0732848344328019,0.0732848344328019
"anh","slp",0.46156296679422,0.562533940286035,-0.100970973491815,0.46156296679422,0.521635557356549,-0.0600725905623286,0.0600725905623286
"app","sui",0.31286343445488,0.295667110165263,0.0171963242896173,0.31286343445488,0.274170973087658,0.0386924613672216,0.0386924613672216
"slp","con",0.491672065050358,0.489374514186712,0.00229755086364636,0.491672065050358,0.453795103161374,0.0378769618889836,0.0378769618889836
"glt","sui",1.47191082198335,1.55053681426261,-0.0786259922792569,1.47191082198335,1.43780681908448,0.0341040028988704,0.0341040028988704
"anh","con",0.427133786941609,0.493625036071947,-0.066491249130338,0.427133786941609,0.457736595743197,-0.0306028088015882,0.0306028088015882
"slp","glt",0.32175423660597,0.3773368402221,-0.0555826036161298,0.32175423660597,0.349902999382276,-0.0281487627763065,0.0281487627763065
"anh","glt",0.431582393646797,0.435991638503861,-0.00440924485706362,0.431582393646797,0.404293368037695,0.0272890256091027,0.0272890256091027
"dep","con",0.430354729480431,0.443445516391281,-0.0130907869108504,0.430354729480431,0.411205320309046,0.0191494091713851,0.0191494091713851
"ene","app",1.15125907140502,1.23732177234338,-0.0860627009383621,1.15125907140502,1.14736371643202,0.00389535497300031,0.00389535497300031
"con","sui",0.469848598636129,0.503596969209856,-0.0337483705737268,0.469848598636129,0.466983530955089,0.00286506768103983,0.00286506768103983
"con","mot",1.36877766059239,1.47584469165486,-0.107067031062472,1.36877766059239,1.36854510131715,0.000232559275239685,0.000232559275239685
