"symptom","symptom_label","h_low","se_h_low","h_high","se_h_high","difference_high_minus_low","se_difference","ci_95_lower","ci_95_upper","z_value","p_value","condition_number_low","condition_number_high","direction"
"slp","Sleep problems",-1.73793413803932,0.0373037473492766,-1.91588805952429,0.050634793919214,-0.177953921484969,0.0628923836528711,-0.301220728346472,-0.054687114623466,-2.82949875881903,0.00466209808500181,356.289491440318,430.727101466875,"Higher in Low Slow Risk"
"ene","Low energy",-1.27752102764095,0.0323658035057281,-1.20362655916563,0.0413770945887886,0.0738944684753129,0.0525319825742467,-0.0290663254066963,0.176855262357322,1.40665676135244,0.159529192997264,356.289491440318,430.727101466875,"Higher in High Slow Risk"
"app","Appetite change",-2.58436962709951,0.049489186893768,-2.4289667273997,0.0588895900673908,0.155402899699814,0.0769231008066604,0.00463639253961551,0.306169406860012,2.02023706884107,0.0433588029464801,356.289491440318,430.727101466875,"Higher in High Slow Risk"
"con","Concentration problems",-3.02886583189699,0.0589369661316032,-2.86758725826932,0.0678957207223298,0.161278573627669,0.0899077019459531,-0.0149372841191611,0.337494431374499,1.79382377857482,0.0728413003345036,356.289491440318,430.727101466875,"Higher in High Slow Risk"
"glt","Guilt",-3.40277910304158,0.0675535946950852,-3.21524857170159,0.0759827148072943,0.187530531339988,0.101670355097808,-0.0117397029471147,0.386800765627091,1.84449568568518,0.0651109339989108,356.289491440318,430.727101466875,"Higher in High Slow Risk"
"anh","Anhedonia",-2.18782575310268,0.0431265930782039,-1.8914015835804,0.050786520572925,0.296424169522282,0.0666271243746653,0.165837405354467,0.427010933690097,4.44900139852045,8.62704545521684e-06,356.289491440318,430.727101466875,"Higher in High Slow Risk"
"dep","Depressed mood",-3.52364360355343,0.0664963241072799,-3.15797270296754,0.0708721408363801,0.365670900585895,0.0971834423475116,0.175194853691148,0.556146947480643,3.76268726187243,0.00016809735439711,356.289491440318,430.727101466875,"Higher in High Slow Risk"
"sui","Suicidality",-5.33155527239964,0.156475587551259,-4.85823643475773,0.142949227268883,0.473318837641908,0.211941244396371,0.0579216317864188,0.888716043497397,2.23325497115941,0.0255321351096768,356.289491440318,430.727101466875,"Higher in High Slow Risk"
"mot","Psychomotor change",-4.0213319964245,0.0878430797227486,-3.46027428769113,0.0838074129875555,0.561057708733367,0.12140876873951,0.323100894596575,0.79901452287016,4.62122888287543,3.81473622825e-06,356.289491440318,430.727101466875,"Higher in High Slow Risk"
