"slow_group","anh","dep","slp","ene","app","glt","con","mot","sui"
"Low Slow Risk",0.38107023982248,0.204915934112828,0.408295638815396,0.538448408295639,0.27199795169412,0.141674490057182,0.18255526158573,0.0894426901083895,0.0288469744815226
"High Slow Risk",0.637644821027149,0.488068476569255,0.607816012450285,0.733788690990835,0.491786270102023,0.336590005187619,0.390281860625973,0.298201625453917,0.126232059484697
