"var1","var1_id","op","var2","var2_id","est","std","se","p","se_boot","p_boot","matrix","row","col","par","group","group_id","fixed","mi","pmi","epc","mi_free","pmi_free","epc_free","mi_equal","pmi_equal","epc_equal","minimum","maximum","identified","penalty_lambda","model"
"con",7,"--","dep",2,0.399474809984771,,0.0428967379328756,1.2488733866526e-20,,,"omega",7,2,22,"Low Slow Risk",1,FALSE,1.1583e-05,0.9972844997,-5.71537e-05,0.0261157715,0.8716179053,,1.1583e-05,0.9972844997,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"mot",8,"--","dep",2,0.603637545565442,,0.0504918580159791,6.10260667978581e-33,,,"omega",8,2,23,"Low Slow Risk",1,FALSE,8.94395e-05,0.9924543208,0.0001762015,0.0016642562,0.9674590894,,8.94395e-05,0.9924543208,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"sui",9,"--","dep",2,1.48462338060907,,0.0959241136064169,4.95600701626709e-54,,,"omega",9,2,24,"Low Slow Risk",1,FALSE,4.70649e-05,0.9945262443,-0.0001728209,0.9655999152,0.3257800044,,4.70649e-05,0.9945262443,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"ene",4,"--","slp",3,1.31674635809959,,0.0371417293211735,2.70773779930203e-275,,,"omega",4,3,25,"Low Slow Risk",1,FALSE,0.0002599649,0.9871359227,0.0002130862,0.2943682216,0.5874347737,,0.0002599649,0.9871359227,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"app",5,"--","slp",3,0.604838992597346,,0.0357902582771264,4.53410417291416e-64,,,"omega",5,3,26,"Low Slow Risk",1,FALSE,2.70817e-05,0.9958478216,7.52804e-05,0.9526996415,0.3290330775,,2.70817e-05,0.9958478216,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"glt",6,"--","slp",3,0.326783297841885,,0.0460433860139838,1.27226219696188e-12,,,"omega",6,3,27,"Low Slow Risk",1,FALSE,0.0003206225,0.9857138952,0.0002973809,0.1608759415,0.688351336,,0.0003206225,0.9857138952,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"con",7,"--","slp",3,0.466427233102962,,0.0412833917577884,1.33964046674536e-29,,,"omega",7,3,28,"Low Slow Risk",1,FALSE,0.0001472564,0.9903179684,0.0001904188,0.0548075354,0.814899511,,0.0001472564,0.9903179684,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"mot",8,"--","slp",3,0.338615582956966,,0.0508058476960975,2.64856675725469e-11,,,"omega",8,3,29,"Low Slow Risk",1,FALSE,0.0003539595,0.9849896367,0.0003371224,0.0462589007,0.8297058633,,0.0003539595,0.9849896367,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"sui",9,"--","slp",3,0.303509423227317,,0.0815755491644267,0.000198755473909343,,,"omega",9,3,30,"Low Slow Risk",1,FALSE,0.0001155575,0.991423091,-0.0002755732,0.239706327,0.6244183014,,0.0001155575,0.991423091,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"app",5,"--","ene",4,1.1187721092078,,0.0434443363826065,3.07310831162154e-146,,,"omega",5,4,31,"Low Slow Risk",1,FALSE,5.2157e-06,0.998177807,3.16251e-05,0.0100782715,0.9200342364,,5.2157e-06,0.998177807,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"glt",6,"--","ene",4,0.367124005028207,,0.0584887797911565,3.45550192921022e-10,,,"omega",6,4,32,"Low Slow Risk",1,FALSE,0.0003206573,0.9857131186,0.000284956,0.2078257974,0.6484768851,,0.0003206573,0.9857131186,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"con",7,"--","ene",4,0.706758456071394,,0.0516692404913182,1.36451829990786e-42,,,"omega",7,4,33,"Low Slow Risk",1,FALSE,1.04976e-05,0.9974148616,-4.85894e-05,0.210200138,0.6466105831,,1.04976e-05,0.9974148616,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"mot",8,"--","ene",4,0.560729211103485,,0.0680587228033543,1.7379686314293e-16,,,"omega",8,4,34,"Low Slow Risk",1,FALSE,0.0001590175,0.989938771,0.0002162952,3.33003e-05,0.9953957233,,0.0001590175,0.989938771,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"sui",9,"--","ene",4,-0.268489041012437,,0.109564877967852,0.0142656850309235,,,"omega",9,4,35,"Low Slow Risk",1,FALSE,4.1499e-06,0.9983746032,5.07187e-05,0.0003214067,0.9856964356,,4.1499e-06,0.9983746032,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"glt",6,"--","app",5,0.506151037627257,,0.0417038254115173,6.74101713117328e-34,,,"omega",6,5,36,"Low Slow Risk",1,FALSE,0.000119514,0.9912775027,0.0001915446,0.0688196263,0.7930632186,,0.000119514,0.9912775027,,-Inf,Inf,FALSE,0,"equal_J_free_h"
