"symptom","group_1","group_2","beta_group_1","beta_group_2","tau_group_1","tau_group_2","tau_difference_group1_minus_group2","effective_h_group_1","effective_h_group_2","effective_h_difference_group1_minus_group2","baseline_probability_group_1_when_other_symptoms_zero","baseline_probability_group_2_when_other_symptoms_zero"
"anh","Low Slow Risk","High Slow Risk",1,0.83363272016556,-2.26580759562463,-2.26580759562463,0,-2.26580759562463,-1.88885134931235,-0.376956246312283,0.0939946286863714,0.131375493336833
"dep","Low Slow Risk","High Slow Risk",1,0.83363272016556,-3.73487942628696,-3.73487942628696,0,-3.73487942628696,-3.11351769562599,-0.621361730660976,0.0233192774903905,0.0425530942611269
"slp","Low Slow Risk","High Slow Risk",1,0.83363272016556,-1.94629399138081,-1.94629399138081,0,-1.94629399138081,-1.62249435427667,-0.32379963710414,0.124958023288329,0.164861155465793
"ene","Low Slow Risk","High Slow Risk",1,0.83363272016556,-1.34851281269046,-1.34851281269046,0,-1.34851281269046,-1.12416440422126,-0.224348408469202,0.206113615081651,0.245239646613023
"app","Low Slow Risk","High Slow Risk",1,0.83363272016556,-2.76631429786658,-2.76631429786658,0,-2.76631429786658,-2.3060901129634,-0.460224184903182,0.0591718654836314,0.0906198348894244
"glt","Low Slow Risk","High Slow Risk",1,0.83363272016556,-3.65470061350541,-3.65470061350541,0,-3.65470061350541,-3.04667801382726,-0.608022599678155,0.0252168991775891,0.0453611099771327
"con","Low Slow Risk","High Slow Risk",1,0.83363272016556,-3.25204478534131,-3.25204478534131,0,-3.25204478534131,-2.7110109405043,-0.541033844837009,0.037253480337887,0.0623267437251444
"mot","Low Slow Risk","High Slow Risk",1,0.83363272016556,-4.21681879719707,-4.21681879719707,0,-4.21681879719707,-3.51527812435266,-0.701540672844412,0.0145312087053971,0.0288806340193518
"sui","Low Slow Risk","High Slow Risk",1,0.83363272016556,-5.75138552683547,-5.75138552683547,0,-5.75138552683547,-4.79454316145669,-0.956842365378785,0.00316830396684035,0.0082068681880537
