"var1","var1_id","op","var2","var2_id","est","std","se","p","se_boot","p_boot","matrix","row","col","par","group","group_id","fixed","mi","pmi","epc","mi_free","pmi_free","epc_free","mi_equal","pmi_equal","epc_equal","minimum","maximum","identified","penalty_lambda","model"
"ene",4,"--","dep",2,0.393963199145487,,0.0714136387420454,3.45546008054926e-08,,,"omega",4,2,19,"Low Slow Risk",1,FALSE,0.0001035507,0.9918808774,-0.0002488112,0.0001035507,0.9918808774,,0.0001035507,0.9918808774,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"app",5,"--","dep",2,0.390443186810697,,0.0612350181479634,1.81604250789602e-10,,,"omega",5,2,20,"Low Slow Risk",1,FALSE,0.0001357439,0.9907041231,-0.0003437068,0.0001357439,0.9907041231,,0.0001357439,0.9907041231,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"glt",6,"--","dep",2,1.350947588241,,0.0697190860612195,1.20651403630165e-83,,,"omega",6,2,21,"Low Slow Risk",1,FALSE,6.34253e-05,0.9936457167,-0.0002620011,6.34253e-05,0.9936457167,,6.34253e-05,0.9936457167,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"con",7,"--","dep",2,0.430354729480431,,0.0676691255281419,2.02159994292621e-10,,,"omega",7,2,22,"Low Slow Risk",1,FALSE,3.07142e-05,0.9955781122,-0.0001847515,3.07142e-05,0.9955781122,,3.07142e-05,0.9955781122,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"mot",8,"--","dep",2,0.594603933240587,,0.0876331131678913,1.1596490225206e-11,,,"omega",8,2,23,"Low Slow Risk",1,FALSE,1.73363e-05,0.9966778651,0.0001773468,1.73363e-05,0.9966778651,,1.73363e-05,0.9966778651,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"sui",9,"--","dep",2,1.72785442109732,,0.172303645315616,1.14862806944307e-23,,,"omega",9,2,24,"Low Slow Risk",1,FALSE,0.0003696967,0.9846596216,0.0011802742,0.0003696967,0.9846596216,,0.0003696967,0.9846596216,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"ene",4,"--","slp",3,1.38197730018305,,0.0447619726361409,2.67579823787809e-209,,,"omega",4,3,25,"Low Slow Risk",1,FALSE,0.0001483041,0.9902835872,0.0002407075,0.0001483041,0.9902835872,,0.0001483041,0.9902835872,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"app",5,"--","slp",3,0.559505546386012,,0.0506040905369425,2.03835826912933e-28,,,"omega",5,3,26,"Low Slow Risk",1,FALSE,2.84306e-05,0.9957456736,0.0001292857,2.84306e-05,0.9957456736,,2.84306e-05,0.9957456736,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"glt",6,"--","slp",3,0.32175423660597,,0.0696066809579345,3.79212321259301e-06,,,"omega",6,3,27,"Low Slow Risk",1,FALSE,1.64704e-05,0.996761896,-0.0001269022,1.64704e-05,0.996761896,,1.64704e-05,0.996761896,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"con",7,"--","slp",3,0.491672065050358,,0.0600036044716213,2.52596513349995e-16,,,"omega",7,3,28,"Low Slow Risk",1,FALSE,9.72759e-05,0.992130707,0.0002777164,9.72759e-05,0.992130707,,9.72759e-05,0.992130707,,-Inf,Inf,FALSE,0,"free_J_equal_h"
