"var1","var1_id","op","var2","var2_id","est","std","se","p","se_boot","p_boot","matrix","row","col","par","group","group_id","fixed","mi","pmi","epc","mi_free","pmi_free","epc_free","mi_equal","pmi_equal","epc_equal","minimum","maximum","identified","penalty_lambda","model"
"ene",4,"--","dep",2,0.411913319658426,,0.0749414806268187,3.87477190514419e-08,,,"omega",4,2,19,"Low Slow Risk",1,FALSE,1.69203e-05,0.9967179724,-0.0001005814,1.69203e-05,0.9967179724,,1.69203e-05,0.9967179724,,-Inf,Inf,FALSE,0,"free_J_free_h"
"app",5,"--","dep",2,0.39095425686932,,0.0614633987084351,2.0075092430175e-10,,,"omega",5,2,20,"Low Slow Risk",1,FALSE,2.0005e-05,0.9964313166,-0.0001319573,2.0005e-05,0.9964313166,,2.0005e-05,0.9964313166,,-Inf,Inf,FALSE,0,"free_J_free_h"
"glt",6,"--","dep",2,1.35606685476851,,0.0701478781860661,2.91555848100437e-83,,,"omega",6,2,21,"Low Slow Risk",1,FALSE,1.97853e-05,0.9964509688,-0.0001463403,1.97853e-05,0.9964509688,,1.97853e-05,0.9964509688,,-Inf,Inf,FALSE,0,"free_J_free_h"
"con",7,"--","dep",2,0.430637112859871,,0.0679295419268913,2.30560873174314e-10,,,"omega",7,2,22,"Low Slow Risk",1,FALSE,1.04715e-05,0.9974180753,-0.0001078788,1.04715e-05,0.9974180753,,1.04715e-05,0.9974180753,,-Inf,Inf,FALSE,0,"free_J_free_h"
"mot",8,"--","dep",2,0.597000905043985,,0.0885337400125737,1.54933418215746e-11,,,"omega",8,2,23,"Low Slow Risk",1,FALSE,2.53425e-05,0.9959833604,0.0002144256,2.53425e-05,0.9959833604,,2.53425e-05,0.9959833604,,-Inf,Inf,FALSE,0,"free_J_free_h"
"sui",9,"--","dep",2,1.76070378033285,,0.177270344498079,3.01199654568039e-23,,,"omega",9,2,24,"Low Slow Risk",1,FALSE,0.0002790372,0.9866724307,0.0010253194,0.0002790372,0.9866724307,,0.0002790372,0.9866724307,,-Inf,Inf,FALSE,0,"free_J_free_h"
"ene",4,"--","slp",3,1.29265534651657,,0.0484833171599939,1.30407674380113e-156,,,"omega",4,3,25,"Low Slow Risk",1,FALSE,1.49682e-05,0.9969130892,-7.64669e-05,1.49682e-05,0.9969130892,,1.49682e-05,0.9969130892,,-Inf,Inf,FALSE,0,"free_J_free_h"
"app",5,"--","slp",3,0.535166394615378,,0.050978396558332,8.83178887356902e-26,,,"omega",5,3,26,"Low Slow Risk",1,FALSE,4.50702e-05,0.994643496,0.0001627823,4.50702e-05,0.994643496,,4.50702e-05,0.994643496,,-Inf,Inf,FALSE,0,"free_J_free_h"
"glt",6,"--","slp",3,0.303081309187095,,0.0694700944883244,1.2843215221386e-05,,,"omega",6,3,27,"Low Slow Risk",1,FALSE,5.43905e-05,0.9941156605,0.0002306437,5.43905e-05,0.9941156605,,5.43905e-05,0.9941156605,,-Inf,Inf,FALSE,0,"free_J_free_h"
"con",7,"--","slp",3,0.470593965563354,,0.0601466506893699,5.11263969051607e-15,,,"omega",7,3,28,"Low Slow Risk",1,FALSE,1.7043e-06,0.998958358,-3.67558e-05,1.7043e-06,0.998958358,,1.7043e-06,0.998958358,,-Inf,Inf,FALSE,0,"free_J_free_h"
"mot",8,"--","slp",3,0.458831770050074,,0.0848116832909626,6.30224110493542e-08,,,"omega",8,3,29,"Low Slow Risk",1,FALSE,7.975e-06,0.9977467757,-0.0001061206,7.975e-06,0.9977467757,,7.975e-06,0.9977467757,,-Inf,Inf,FALSE,0,"free_J_free_h"
"sui",9,"--","slp",3,0.147554084183623,,0.150835975516952,0.327954655471045,,,"omega",9,3,30,"Low Slow Risk",1,FALSE,0.000146415,0.990345667,-0.000774812,0.000146415,0.990345667,,0.000146415,0.990345667,,-Inf,Inf,FALSE,0,"free_J_free_h"
"app",5,"--","ene",4,1.14246542102113,,0.0592968826651038,1.01913447791798e-82,,,"omega",5,4,31,"Low Slow Risk",1,FALSE,3.19867e-05,0.9954874457,0.0001248473,3.19867e-05,0.9954874457,,3.19867e-05,0.9954874457,,-Inf,Inf,FALSE,0,"free_J_free_h"
