"model","DF","AIC","BIC","RMSEA","Chisq","Chisq_diff","DF_diff","p_value","delta_BIC","delta_AIC"
"free_J_free_h",0,187290.453843951,188015.446932308,,0,,,,261.002205897938,0
"free_J_equal_h",8,187311.016635396,187971.565893677,0.0175126093340305,36.5627914449433,36.5627914449433,8,1.3847313058459e-05,217.121167266712,20.5627914449433
"equal_J_free_h",35,187311.393394637,187754.44472641,0.0117171231217131,90.9395506853471,54.3767592404038,27,0.00136791030627894,0,20.9395506853471
"equal_J_equal_h",44,189959.3324078,190329.884430738,0.0727753608426393,2756.87856384844,2665.93901316309,9,0,2575.43970432741,2668.87856384844
