"symptom","group_1","group_2","beta_group_1","beta_group_2","tau_group_1","tau_group_2","tau_difference_group1_minus_group2","effective_h_group_1","effective_h_group_2","effective_h_difference_group1_minus_group2","baseline_probability_group_1_when_other_symptoms_zero","baseline_probability_group_2_when_other_symptoms_zero"
"anh","Low Slow Risk","High Slow Risk",1,1.05039258730565,-2.15776410906482,-1.83434948296607,-0.323414626098743,-2.15776410906482,-1.92678709943552,-0.2309770096293,0.103607922108384,0.127106626274236
"dep","Low Slow Risk","High Slow Risk",1,1.05039258730565,-3.541504591217,-2.97506310151941,-0.566441489697586,-3.541504591217,-3.12498422860255,-0.416520362614449,0.0281540909512295,0.0420883637654076
"slp","Low Slow Risk","High Slow Risk",1,1.05039258730565,-1.80434604452565,-1.72550594731405,-0.0788400972115979,-1.80434604452565,-1.8124586564105,0.00811261188484513,0.141322846786926,0.14034123733702
"ene","Low Slow Risk","High Slow Risk",1,1.05039258730565,-1.25974368304795,-1.16533267370803,-0.0944110093399175,-1.25974368304795,-1.22405680220799,-0.0356868808399582,0.221018018911761,0.227223316808902
"app","Low Slow Risk","High Slow Risk",1,1.05039258730565,-2.58733919210679,-2.31801447561416,-0.269324716492628,-2.58733919210679,-2.43482522245231,-0.152513969654478,0.0699577067143215,0.080555357275566
"glt","Low Slow Risk","High Slow Risk",1,1.05039258730565,-3.32896683145489,-3.14475455459884,-0.184212276856044,-3.32896683145489,-3.30322687304631,-0.0257399584085789,0.0345907155360019,0.0354606543033447
"con","Low Slow Risk","High Slow Risk",1,1.05039258730565,-2.99836985318761,-2.77281203612945,-0.225557817058161,-2.99836985318761,-2.91254120874226,-0.0858286444453484,0.0474995721214012,0.0515370769678811
"mot","Low Slow Risk","High Slow Risk",1,1.05039258730565,-4.00575412415554,-3.29378455336414,-0.711969570791398,-4.00575412415554,-3.45976687903554,-0.545987245119991,0.0178848579438966,0.0304789212250688
"sui","Low Slow Risk","High Slow Risk",1,1.05039258730565,-5.22235269016728,-4.69861166090567,-0.523741029261608,-5.22235269016728,-4.93538685924321,-0.28696583092407,0.0053656765116194,0.00713638573212627
